Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,6.02074537534855,-1.85578803046339,-1.34293072157739,..
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,34.2772237131003,53.5483043492339,42.0150947376509,48.4093786255199,72.430757531824,133.488935594175,219.883929014578,..
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,6.685,6.267,6.101,6.137,6.494,6.796,7.291,7.544,8.246,9.202,10.778,7.915,6.145,5.641,6.576,6.397
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.714,7.18,7.217,7.1,7.268,7.577,8.088,8.347,9.22,9.843,11.461,8.736,6.805,6.139,7.15,7.145
Argentina,ARG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,9.221,8.522,8.841,8.508,8.394,8.704,9.227,9.485,10.563,10.718,12.394,9.852,7.682,6.793,7.912,8.136
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.21004795300735,2.39473494330615,3.95247138119184,2.65445302592404,2.60118978187332,2.16434780647852,2.75564065529868,2.29331030192918,2.87417039499501,2.19401703622717,-0.133531904304775,2.00694844335034,4.25304559238732,3.58382100798981,1.37340773365975,..
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.9183370211222,3.30384784681081,1.76278299052228,2.44988248109259,2.48792932080492,1.50836803138463,1.27699365720306,1.94864309065653,1.91140002818579,1.610770929127,0.846900734607273,2.86391284709318,6.59409658717841,5.59701792296707,3.16656665428797,..
Australia,AUS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,5.075,4.896,5.138,5.706,5.997,6.039,5.651,5.525,5.299,5.183,6.439,5.162,3.779,3.755,4.046,4.128
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.345,5.143,6.394,5.022,3.728,3.668,3.942,4.09
Australia,AUS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,5.381,5.308,5.328,5.611,6.174,6.074,5.781,5.669,5.397,5.098,6.343,4.865,3.672,3.572,3.827,4.05
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.52822581812151,3.97442307944702,1.92117598509462,3.0048226702888,0.503955740273241,-3.54576339347278,-3.2759169063211,1.32286905390815,1.78366676137003,1.22077782271943,-3.27675879612903,4.7626043797061,3.01669435408112,3.24165532813583,3.41931516597739,..
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.03872690108074,6.6364496221309,5.40349914036997,6.204310666401,6.32904015516138,9.02990102416136,8.73914352329393,3.44637335032669,3.66485028376728,3.73297621216893,3.21176803803376,8.30165975585673,9.28010608956872,4.59356282283203,4.36746407652336,..
Brazil,BRA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,6.173,5.495,5.811,5.69,5.616,7.233,10.079,11.209,10.737,10.07,11.804,10.678,7.478,6.609,5.597,4.929
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.42,7.578,7.251,7.071,6.755,8.538,11.58,12.792,12.329,11.936,13.697,13.158,9.231,7.947,6.801,5.97
Brazil,BRA,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,11.467,10.444,9.248,8.983,8.326,10.313,13.608,14.885,14.417,14.35,16.25,16.444,11.515,9.698,8.374,7.329
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.5962719761682,9.4613358870736,7.85617427055587,7.77872409446717,7.46190028229434,6.97878002657477,6.77555562837017,6.8912663621211,6.75671800166833,6.06850235053705,2.34018843078414,8.57008513166322,3.1341888719577,5.41484330099675,4.9773565917572,..
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.17532475269199,5.55389892257493,2.6195243264554,2.62105001748114,1.9216416278852,1.43702380935654,2.00000182191943,1.59313600071435,2.07479039965576,2.89923416358226,2.41942189457782,0.981015135544881,1.9735755573905,0.23483682889305,0.218128938439177,..
